c3.2xlarge,m3.large,m3.xlarge,pi,tk1,
120557.0,111431.0,116361.0,144973.0,50220.0,
114099.0,110997.0,115634.0,147532.0,44484.0,
115671.0,112200.0,115138.0,148873.0,55037.0,
115440.0,112603.0,113551.0,150535.0,44756.0,
114925.0,111657.0,118983.0,144290.0,45491.0,
118951.0,112355.0,119876.0,143188.0,51109.0,
117646.0,112358.0,115841.0,145497.0,44636.0,
114876.0,111704.0,115858.0,149675.0,45185.0,
113474.0,112621.0,115735.0,151181.0,40434.0,
118063.0,113201.0,114076.0,150476.0,45972.0,
118521.0,112443.0,116052.0,150751.0,47535.0,
117709.0,111885.0,114757.0,148382.0,48346.0,
122100.0,112838.0,121188.0,151162.0,51352.0,
121969.0,112111.0,118562.0,147516.0,43308.0,
120841.0,111766.0,118741.0,148613.0,44783.0,
120977.0,112398.0,120927.0,147627.0,48485.0,
120828.0,114761.0,116593.0,149556.0,43737.0,
120727.0,114553.0,116456.0,151947.0,46460.0,
119104.0,113789.0,118717.0,143644.0,48936.0,
119288.0,112085.0,121766.0,153386.0,42493.0,
118816.0,114648.0,120370.0,147060.0,50667.0,
124913.0,113778.0,121050.0,150872.0,48913.0,
118705.0,116150.0,119493.0,150801.0,44957.0,
121042.0,116715.0,119071.0,153546.0,44760.0,
119560.0,116279.0,120305.0,153110.0,45181.0,
124813.0,115465.0,120518.0,148411.0,45702.0,
126106.0,117200.0,121513.0,156585.0,55445.0,
123393.0,115955.0,120889.0,150100.0,49084.0,
120717.0,116209.0,119730.0,152906.0,49854.0,
121752.0,117539.0,121703.0,151392.0,50015.0,
121743.0,118509.0,121272.0,152363.0,49403.0,
120472.0,115509.0,120539.0,154489.0,48964.0,
120342.0,117007.0,122732.0,156098.0,47203.0,
122005.0,117568.0,122869.0,152475.0,50707.0,
125994.0,116388.0,124744.0,153109.0,49218.0,
124581.0,118558.0,126077.0,161256.0,47033.0,
120726.0,117278.0,121651.0,159275.0,51107.0,
